t2m,ssrd,e,sp,tp,year
289.4353,14799550.0,0.0027127713,97622.96,0.0023478973,1982
289.2508,10766145.0,0.001865916,97830.61,0.0033545224,1982
282.8142,5349512.0,0.0010911729,97237.48,0.005184775,1982
279.77405,3534600.0,0.0005365405,97574.44,0.0017301342,1982
275.64267,2418196.0,0.00033541396,97390.47,0.0046078553,1982
276.73102,3266564.0,0.00025026128,98505.17,0.0022788986,1983
272.61096,6721066.0,0.0004962031,97706.05,0.0005922828,1983
277.75262,10795988.0,0.0014888784,97686.625,0.003329798,1983
280.8271,15931448.0,0.0022459175,96908.84,0.0011123759,1983
282.82532,19345430.0,0.0030539138,97009.72,0.0021584043,1983
288.99957,19123660.0,0.0032811407,97947.52,0.0026978152,1983
293.96027,19451910.0,0.003468249,97794.45,0.0019407971,1983
291.8323,14661328.0,0.0024151355,97798.09,0.0018410705,1983
286.81616,12114373.0,0.0018801047,97654.22,0.0020754887,1983
282.70813,5412764.5,0.0009590229,98171.21,0.0036543962,1983
277.37543,3683392.0,0.00069043087,97799.67,0.0024910842,1983
275.06638,2263072.0,0.0004833173,97689.055,0.0038653146,1983
274.5704,2490672.0,0.00044381432,97086.766,0.0023706076,1984
273.94324,6679200.0,0.000546976,97844.99,0.0024050353,1984
276.10803,9205154.0,0.001183805,97428.53,0.002753938,1984
279.65005,12551862.0,0.0020606867,97803.78,0.0052572675,1984
282.52484,12528282.0,0.0022715358,96850.81,0.006515325,1984
286.59906,20003118.0,0.0034346776,97713.84,0.001977301,1984
289.2844,23167578.0,0.004124158,97895.67,0.001011655,1984
290.46777,17211554.0,0.002635059,97811.16,0.0010594992,1984
285.71875,10929333.0,0.001886744,97153.414,0.0031972828,1984
283.52774,6590008.5,0.0010417709,97742.734,0.0013968493,1984
280.01227,4663532.0,0.0004466381,96986.2,0.002062322,1984
275.27002,2664876.0,0.00028634723,98164.67,0.0016061738,1984
268.96155,2446100.0,0.000468296,97135.39,0.0055957125,1985
272.4854,6168134.0,0.0005590739,98021.64,0.0030285248,1985
276.12537,11154845.0,0.0012738351,97287.7,0.0018803506,1985
280.85257,17230414.0,0.002404023,97231.01,0.0017219709,1985
285.59265,13815080.0,0.0022482267,97164.2,0.004440013,1985
286.1642,18872848.0,0.0031556198,97484.0,0.0023778654,1985
290.24323,19071156.0,0.003386123,97764.72,0.0017482782,1985
288.34457,15955706.0,0.002747626,97678.67,0.0015932579,1985
287.48712,8224471.5,0.001680742,98132.13,0.004714787,1985
282.964,5530688.5,0.0010875529,98391.41,0.0035427725,1985
274.30423,3939376.0,0.000714371,97343.59,0.0029887194,1985
276.77637,2356864.0,0.00026372075,97650.375,0.00135255,1985
274.07593,3358400.0,0.00016925484,96894.39,0.0021674908,1986
269.0138,7644662.0,0.0003620144,97232.31,0.0011994173,1986
276.65613,8903118.0,0.001156983,97409.28,0.0029951083,1986
278.53128,15281774.0,0.00239727,96996.34,0.0027838508,1986
285.8362,17360688.0,0.0029639592,97781.9,0.0027785841,1986
289.16333,16955768.0,0.0030253334,97691.555,0.0034072967,1986
289.71155,19515622.0,0.0034731869,97839.53,0.0018926758,1986
288.9142,14980372.0,0.0026488546,97546.84,0.0022428855,1986
284.68195,12637576.0,0.0019510528,98116.0,0.0013418858,1986
284.0141,8598714.0,0.0010527242,97895.41,0.0006668201,1986
279.25082,3566340.0,0.00047012884,98089.5,0.0031918392,1986
275.77582,2397600.0,0.00040415023,97829.69,0.002102605,1986
269.64838,2767644.0,0.00048891176,97842.31,0.0038870508,1987
273.8817,7703974.0,0.00034414884,97376.45,0.0006147029,1987
274.69183,8992261.0,0.0010293149,97577.14,0.0034369316,1987
282.2813,12616464.0,0.001887924,97718.18,0.0036571648,1987
282.45837,18044438.0,0.0029313918,97571.734,0.002453099,1987
286.55646,20137212.0,0.0036634728,97503.89,0.002726445,1987
289.5114,17845648.0,0.0031079464,97614.13,0.0017515029,1987
288.79208,15249900.0,0.0026833396,97628.875,0.0035090877,1987
288.54358,11232414.0,0.0016943561,97801.2,0.0028759534,1987
283.67657,6890537.0,0.0011120122,97394.805,0.002943423,1987
278.25732,3498600.0,0.00062274,97584.32,0.0020793031,1987
275.80975,2474104.0,0.00040495582,98021.08,0.002762034,1987
277.4973,4045308.0,0.00023367815,96967.52,0.0013440213,1988
275.30145,4700206.0,0.00032136496,97308.61,0.0022331653,1988
277.08234,10749004.0,0.0009928951,97153.73,0.0028120638,1988
281.58228,16071054.0,0.002391111,97496.87,0.0017987875,1988
286.91876,16657188.0,0.0026664678,97256.13,0.003043803,1988
288.0194,15338860.0,0.0027099662,97547.86,0.004398908,1988
288.8187,18122224.0,0.003394003,97560.305,0.00426338,1988
290.0199,15085964.0,0.0027177613,97530.445,0.0025069283,1988
286.39777,11774254.0,0.002072718,97870.31,0.0031582962,1988
283.8525,7076418.0,0.0014154352,97692.49,0.004360137,1988
276.8412,3482392.0,0.00065535493,98153.83,0.002410202,1988
277.94016,2522232.0,0.0002074251,98273.016,0.0010595294,1988
275.88666,2570692.0,0.00070242584,98971.14,0.004455849,1989
276.147,5769344.0,0.0008841539,97772.914,0.004284837,1989
280.5719,7760073.0,0.0012870701,97454.39,0.004461116,1989
279.92847,17167938.0,0.0024001827,96832.94,0.0011087437,1989
